"SubjNum","voto_sen_candidato_1","voto_sen_candidato_2","voto_sen_candidato_3","voto_sen_candidato_4","voto_sen_candidato_5","voto_sen_candidato_6","voto_sen_candidato_7","voto_sen_candidato_8","voto_sen_candidato_9","ident_partido","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
11,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"PAN - Partido Acción Nacional","Hombre",92,"Sí","c(-115.37893| 32.6481)",398,"C1"
12,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",66,"Sí","c(-115.37893| 32.6481)",398,"C1"
13,"No respondió",NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"PAN - Partido Acción Nacional","Hombre",47,"Sí","c(-115.37893| 32.6481)",398,"C1"
14,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",54,"Sí","c(-115.37893| 32.6481)",398,"C1"
15,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",51,"Sí","c(-115.37893| 32.6481)",398,"C1"
16,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",27,"Sí","c(-115.37893| 32.6481)",398,"C1"
17,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",89,"Sí","c(-115.37893| 32.6481)",398,"C1"
18,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",67,"Sí","c(-115.37893| 32.6481)",398,"C1"
19,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",39,"Sí","c(-115.37893| 32.6481)",398,"C1"
20,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",70,"Sí","c(-115.37893| 32.6481)",398,"C1"
21,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
22,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN","PAN - Partido Acción Nacional","Hombre",60,"Sí","c(-115.37893| 32.6481)",398,"C1"
23,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",91,"Sí","c(-115.37893| 32.6481)",398,"C1"
24,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",92,"Sí","c(-115.37893| 32.6481)",398,"C1"
25,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",34,"Sí","c(-115.37893| 32.6481)",398,"C1"
26,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",67,"Sí","c(-115.37893| 32.6481)",398,"C1"
27,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",42,"Sí","c(-115.37893| 32.6481)",398,"C1"
28,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",76,"Sí","c(-115.37893| 32.6481)",398,"C1"
29,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",22,"Sí","c(-115.37893| 32.6481)",398,"C1"
30,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,"MORENA","Hombre",80,"Sí","c(-115.37893| 32.6481)",398,"C1"
31,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",23,"Sí","c(-115.37893| 32.6481)",398,"C1"
32,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",30,"Sí","c(-115.37893| 32.6481)",398,"C1"
33,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"No respondió",NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena","MORENA","Hombre",73,"Sí","c(-115.37893| 32.6481)",398,"C1"
34,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",25,"Sí","c(-115.37893| 32.6481)",398,"C1"
35,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",86,"Sí","c(-115.37893| 32.6481)",398,"C1"
36,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",29,"Sí","c(-115.37893| 32.6481)",398,"C1"
37,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",76,"Sí","c(-115.37893| 32.6481)",398,"C1"
38,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",73,"Sí","c(-115.37893| 32.6481)",398,"C1"
39,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",56,"Sí","c(-115.37893| 32.6481)",398,"C1"
40,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,"No respondió",NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",90,"Sí","c(-115.37893| 32.6481)",398,"C1"
41,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",39,"Sí","c(-115.37893| 32.6481)",398,"C1"
42,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",75,"Sí","c(-115.37893| 32.6481)",398,"C1"
43,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",62,"Sí","c(-115.37893| 32.6481)",398,"C1"
44,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",34,"Sí","c(-115.37893| 32.6481)",398,"C1"
45,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"MORENA","Mujer",31,"Sí","c(-115.37893| 32.6481)",398,"C1"
46,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",37,"Sí","c(-115.37893| 32.6481)",398,"C1"
47,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",58,"Sí","c(-115.37893| 32.6481)",398,"C1"
48,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",38,"Sí","c(-115.37893| 32.6481)",398,"C1"
49,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",46,"Sí","c(-115.37893| 32.6481)",398,"C1"
50,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
51,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,"MORENA","Hombre",82,"Sí","c(-115.37893| 32.6481)",398,"C1"
52,"Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",25,"Sí","c(-115.37893| 32.6481)",398,"C1"
53,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",32,"Sí","c(-115.37893| 32.6481)",398,"C1"
54,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",61,"Sí","c(-115.37893| 32.6481)",398,"C1"
55,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",97,"Sí","c(-115.37893| 32.6481)",398,"C1"
56,"No respondió","No respondió",NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",63,"Sí","c(-115.37893| 32.6481)",398,"C1"
57,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",30,"Sí","c(-115.37893| 32.6481)",398,"C1"
58,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",97,"Sí","c(-115.37893| 32.6481)",398,"C1"
59,"David Saul Guakil y Argelia Núñez de (MC)",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Hombre",51,"Sí","c(-115.37893| 32.6481)",398,"C1"
60,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",55,"Sí","c(-115.37893| 32.6481)",398,"C1"
61,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
62,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",89,"Sí","c(-115.37893| 32.6481)",398,"C1"
63,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Mujer",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
64,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",65,"Sí","c(-115.37893| 32.6481)",398,"C1"
65,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
66,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
67,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",55,"Sí","c(-115.37893| 32.6481)",398,"C1"
68,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"No respondió",NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
69,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",65,"Sí","c(-115.37893| 32.6481)",398,"C1"
70,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",26,"Sí","c(-115.37893| 32.6481)",398,"C1"
71,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",19,"Sí","c(-115.37893| 32.6481)",398,"C1"
72,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",93,"Sí","c(-115.37893| 32.6481)",398,"C1"
73,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",59,"Sí","c(-115.37893| 32.6481)",398,"C1"
74,"Julieta Ramírez y Armando Ayala de Morena","No respondió",NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
75,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",56,"Sí","c(-115.37893| 32.6481)",398,"C1"
76,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",28,"Sí","c(-115.37893| 32.6481)",398,"C1"
77,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",69,"Sí","c(-115.37893| 32.6481)",398,"C1"
78,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",67,"Sí","c(-115.37893| 32.6481)",398,"C1"
79,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",99,"Sí","c(-115.37893| 32.6481)",398,"C1"
80,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Hombre",27,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
81,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",68,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
82,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena","MORENA","Mujer",54,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
83,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",99,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
84,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",29,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
85,"Julieta Ramírez y Armando Ayala de Morena",NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",73,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
86,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",46,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
87,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",47,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
88,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",83,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
89,"Julieta Ramírez y Armando Ayala de Morena",NA,"Voto nulo",NA,NA,NA,NA,"No respondió",NA,"No sabe/No respondió","Hombre",30,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
90,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,"Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","MORENA","Mujer",25,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
91,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",48,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
92,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",36,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
93,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",48,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
94,"Julieta Ramírez y Armando Ayala de Morena",NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",21,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
95,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",72,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
96,"Julieta Ramírez y Armando Ayala de Morena",NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",63,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
97,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",21,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
98,"Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",39,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
99,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",63,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
100,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",85,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
101,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",35,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
102,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",42,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
103,"David Saul Guakil y Argelia Núñez de (MC)",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",84,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
104,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",96,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
105,"No respondió",NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",66,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
106,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",81,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
107,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",52,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
108,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"PAN - Partido Acción Nacional","Hombre",47,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
109,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",40,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
110,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",43,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
111,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",61,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
112,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Hombre",77,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
113,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Mujer",93,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
114,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",95,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
115,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",68,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
116,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",17,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
117,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",47,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
118,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",74,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
119,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",62,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
120,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",99,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
121,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",74,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
122,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",92,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
123,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"MORENA","Mujer",55,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
124,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",23,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
125,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",54,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
126,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"No sabe/No respondió","Mujer",46,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
127,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",30,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
128,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PT- Partido del Trabajo","Mujer",78,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
129,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",99,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
130,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",76,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
131,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",91,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
132,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,"MORENA","Hombre",90,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
133,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PRI - Partido Revolucionario Institucional","Hombre",24,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
