"","ident_partido","voto_sen_candidato","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
"54","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",37,"Sí","c(-115.37893| 32.6481)",398,"C1"
"55","PAN - Partido Acción Nacional","No respondió","Mujer",48,"Sí","c(-115.37893| 32.6481)",398,"C1"
"56","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",82,"Sí","c(-115.37893| 32.6481)",398,"C1"
"57","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",17,"Sí","c(-115.37893| 32.6481)",398,"C1"
"58","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",18,"Sí","c(-115.37893| 32.6481)",398,"C1"
"59","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",78,"Sí","c(-115.37893| 32.6481)",398,"C1"
"60","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",37,"Sí","c(-115.37893| 32.6481)",398,"C1"
"61","PAN - Partido Acción Nacional","Voto nulo","Hombre",90,"Sí","c(-115.37893| 32.6481)",398,"C1"
"62","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",46,"Sí","c(-115.37893| 32.6481)",398,"C1"
"63","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",93,"Sí","c(-115.37893| 32.6481)",398,"C1"
"64","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",84,"Sí","c(-115.37893| 32.6481)",398,"C1"
"65","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",40,"Sí","c(-115.37893| 32.6481)",398,"C1"
"66","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",81,"Sí","c(-115.37893| 32.6481)",398,"C1"
"67","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",61,"Sí","c(-115.37893| 32.6481)",398,"C1"
"68","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",22,"Sí","c(-115.37893| 32.6481)",398,"C1"
"69","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",36,"Sí","c(-115.37893| 32.6481)",398,"C1"
"70","PAN - Partido Acción Nacional","No respondió","Mujer",100,"Sí","c(-115.37893| 32.6481)",398,"C1"
"71","PT- Partido del Trabajo","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",35,"Sí","c(-115.37893| 32.6481)",398,"C1"
"72","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",29,"Sí","c(-115.37893| 32.6481)",398,"C1"
"73","MORENA","No respondió","Hombre",19,"Sí","c(-115.37893| 32.6481)",398,"C1"
"74","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",57,"Sí","c(-115.37893| 32.6481)",398,"C1"
"75","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",92,"Sí","c(-115.37893| 32.6481)",398,"C1"
"76","MORENA","No respondió","Mujer",68,"Sí","c(-115.37893| 32.6481)",398,"C1"
"77","PAN - Partido Acción Nacional","No respondió","Mujer",97,"Sí","c(-115.37893| 32.6481)",398,"C1"
"78","PAN - Partido Acción Nacional","No respondió","Mujer",93,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"79","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",23,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"80","PT- Partido del Trabajo","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",38,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"81","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",73,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"82","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",74,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"83","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",80,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"84","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",34,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"85","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",23,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"86","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",56,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"87","Ninguno","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",22,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"88","MORENA","No respondió","Hombre",91,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"89","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",80,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"90","PAN - Partido Acción Nacional","Voto nulo","Hombre",34,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"91","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",54,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"92","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",67,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"93","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",33,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"94","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",20,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"95","PAN - Partido Acción Nacional","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Mujer",90,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"96","Ninguno","Julieta Ramírez y Armando Ayala de Morena","Mujer",58,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"97","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",58,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"98","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",83,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"99","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",24,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"100","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",35,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"101","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",79,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"102","MORENA","Voto nulo","Mujer",92,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"103","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",35,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"104","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",85,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"105","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",38,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"106","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",70,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"107","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",75,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"108","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",47,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"109","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",60,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"110","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",72,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"111","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",23,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"112","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",72,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"113","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",38,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"114","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",57,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"115","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",46,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"116","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",32,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"117","MC - Movimiento Ciudadano","Julieta Ramírez y Armando Ayala de Morena","Hombre",18,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"118","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",65,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"119","MORENA","No respondió","Mujer",25,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"120","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"121","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",72,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"122","MORENA","No respondió","Mujer",33,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"123","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",47,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"124","MORENA","No respondió","Mujer",38,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"125","MC - Movimiento Ciudadano","Voto nulo","Hombre",81,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"126","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",88,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"127","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",59,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"128","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",78,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"129","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",58,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"130","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",37,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"131","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",20,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"132","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",86,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"133","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Hombre",89,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"134","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",67,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"135","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",42,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"136","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",76,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"137","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",78,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"138","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",24,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"139","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",53,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"140","No sabe/No respondió","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",24,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"141","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",75,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"142","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",78,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"143","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Hombre",63,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"144","MORENA","Voto nulo","Mujer",77,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"145","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",95,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"146","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",89,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"147","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",98,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"148","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",78,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"149","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",27,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"150","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",83,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"151","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",35,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"152","PRI - Partido Revolucionario Institucional","Gustavo Sánchez y Guadalupe Gutiérrez del PRD","Mujer",53,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"153","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",92,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"154","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",32,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"155","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",89,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"156","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",72,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"157","No sabe/No respondió","Julieta Ramírez y Armando Ayala de Morena","Mujer",44,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"158","MORENA","No respondió","Mujer",97,"Sí","c(-115.376733469| 32.60933444)",488,"C11"
"159","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",59,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"160","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",82,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"161","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",88,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"162","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",18,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"163","MORENA","No respondió","Hombre",37,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"164","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",65,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"165","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",25,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"166","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",79,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"167","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",38,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"168","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",18,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"169","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",94,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"170","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Hombre",74,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"171","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",47,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"172","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",55,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"173","PT- Partido del Trabajo","Julieta Ramírez y Armando Ayala de Morena","Hombre",70,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"174","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",17,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"175","PAN - Partido Acción Nacional","Juan Carlos Hank y Mónica Vega de Partido Verde (PVEM)","Hombre",96,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"176","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",53,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"177","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",80,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"178","PRI - Partido Revolucionario Institucional","Julieta Ramírez y Armando Ayala de Morena","Mujer",24,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"179","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Mujer",74,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"180","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PRD","Hombre",76,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"181","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",88,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"182","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",21,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"183","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",53,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"184","PAN - Partido Acción Nacional","Julieta Ramírez y Armando Ayala de Morena","Mujer",31,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"185","MORENA","Voto nulo","Mujer",60,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"186","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",27,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"187","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",79,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"188","PAN - Partido Acción Nacional","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Mujer",38,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"189","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",94,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"190","PRD - Partido de la Revolución Democrática","Gustavo Sánchez y Guadalupe Gutiérrez del PRI","Hombre",81,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"191","MORENA","Julieta Ramírez y Armando Ayala de Morena","Mujer",43,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"192","MORENA","Jaime Bonilla y Janeth Tapia del Partido del Trabajo (PT)","Hombre",73,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"193","MORENA","Gustavo Sánchez y Guadalupe Gutiérrez del PAN","Hombre",73,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
"194","MORENA","Julieta Ramírez y Armando Ayala de Morena","Hombre",40,"Sí","c(-115.114333009| 32.445319565)",618,"B1"
